ts	phase	decision	why	evidence	result
2026-08-15T01:53:40Z	measure	After artist virtualize reload: album 177.2ms then 128.1ms; album Back 475.8ms then 351.4ms appeared=true; artist 266.7ms; artist Back 326.2ms	Dump still listed ~52 Open album links (8+truncated 44), so AX still sees the full catalog. Title 266.7ms vs ~200ms target. Hung Back did not reproduce. All releases restored. n=1 AX. Reduced-motion unverified. Compositor paint unverified.	output/verify-coda/20260815T0153Z-artist-virtual	reverted; no proven first-paint win
2026-08-15T01:58:00Z	experiment	Revert artist virtualize threshold to Collection default 80	AX still listed ~52 Open album links. 52 cards nearly fill the pane plus overscan, so threshold 12 did not bound first paint. Do not leave a weaker grid because we tried.	ArtistScreen; AlbumVirtualGrid; LibraryResults	reverted
2026-08-15T01:59:20Z	experiment	Publish window title during render and before the route outlet	AppShell rendered persistentServices after the artist grid, then useEffect+await loadWindow yielded until that commit finished. Native AX title waited on the grid.	AppShell; WindowTitleController; publishDocumentTitle	kept
2026-08-15T01:59:50Z	measure	After title-publish reload: album 89.2ms; Back 315.2ms immediate and 346.4ms after 350ms settle; artist 235.5ms; artist Back 323.5ms	350ms settle did not speed album Back, so leftover forward morph is not the Back cost. n=1 AX.	output/verify-coda/20260815T0159Z-title-publish	album title faster; artist still >200ms
2026-08-15T02:01:20Z	experiment	Cache native title window so setTitle is invoked without awaiting load	await loadWindow() always yields past the current React commit. A warm cache calls setTitle during WindowTitleController render, before the artist grid.	publishNativeWindowTitle	kept
2026-08-15T02:02:00Z	measure	After title-cache reload: album title 16ms then 4ms; artist during morph FAIL 8s; artist after settle 172.3ms; artist Back 235.6ms; album Back HUNG 8s	click-title is now a readiness race. Settled artist title 172ms. Hung album Back reproduced after artist. Recovered via Collection. Dump still ~52 Open album links. Reduced-motion unread, not toggled.	output/verify-coda/20260815T0201Z-title-cache	artist title improved; hung Back returned; goal not complete
2026-08-15T02:09:20Z	experiment	Notify Motion playback finished when superseding a view transition	NativeAnimation.stop() for view-transition pseudos does not notifyFinished; NativeAnimationWrapper.stop() cancels WAAPI without notifying. Motion interrupt:wait then never calls next(), so the next album/artist open or Back hangs.	src/motionViewTransitions.ts settleResolvedMotionControls; viewTransitions.test.ts hung-close without stop resolving finished	kept
2026-08-15T02:09:25Z	experiment	Move native title publish from render to useLayoutEffect	Render-phase setTitle is illegal in Strict Mode and raced AX (4–16ms title while the page had not settled). Keep cached setTitle / no second loadWindow. Title may corroborate but is not the readiness signal.	WindowTitleController.tsx useLayoutEffect; WindowTitleController.test.tsx	kept
2026-08-15T02:09:30Z	measure	First hung-Back drive after reload used a polluted album name in wait strings	sed took the rest of the open-first-album line, so click-wait looked for Open HX.26 waitTitle=… and reported appeared=false while dump already showed collection Open HX.26. Invalid evidence.	output/verify-coda/20260815T0209Z-hung-back	invalid; ignore hung claim
2026-08-15T02:10:40Z	measure	After reload pid=73883: album open Back present and Open HX.26 gone (title 48.7ms not used as settle); artist 158.4ms then Back present Opening artist absent; artist Back 208.2ms HX.26 and Back still present Open gone; album Back 346.6ms Open HX.26 appeared=true	Hung Back did not reproduce. All releases stayed selected. n=1 AX. Do not treat title-only as success.	output/verify-coda/20260815T0210Z-hung-back	measured; hung Back absent
2026-08-15T02:11:00Z	measure	Artist click immediately after album title (no Back/Open settle) FAIL 8s; after-state was Collection with Open HX.26, not a hung album page	Queue was not stuck. Click during morph did not land on artist. Distinct from hung Back.	output/verify-coda/20260815T0210Z-hung-back/15-interrupt-during-morph.txt	interrupt click still fails; queue not dead
2026-08-15T02:11:10Z	audit	Reduced-motion unverified; OS default missing	defaults read com.apple.universalaccess reduceMotion: domain/default pair does not exist. Did not write the user’s Accessibility defaults. JS skip remains in viewTransitions.ts ~428–440. CSS @media (prefers-reduced-motion: reduce) still zeros duration at styles.css ~1164.	defaults read; src/viewTransitions.ts; src/styles.css:1164	blocker; not toggled
2026-08-15T02:30:00Z	measure	Fresh Coda Dev pid=3626: Open HX.26 click did nothing. Title stayed Communitism 8s. Back absent. Open HX.26 remained after 2s. Loading HX.26 false.	output/verify-coda/20260815T0230Z-dead-open/04-open-first-album.txt	FAIL origin remained; spinner not the cause
2026-08-15T02:30:20Z	diagnose	Keep-alive Collection layout plus open() ignore/commit-gate swallowed album clicks. First VT hang left detailMorphFlight set so later clicks returned ignored; commit-gate blocked supersede. Collection index was () => null.	src/routes/collection/route.tsx; useDetailNavigationController open ignored	reverted
2026-08-15T02:31:00Z	experiment	Reverted Collection keep-alive (layout Outlet + CollectionRouteScreen on index), deleted origin activity/virtualizer freeze, restored open()/back() without ignore or commit-gate. Kept artist browse-mode preserve, Motion notifyFinished, title useLayoutEffect, loadingAlbumId late-beforeCommit guard.	src/routes/collection; useDetailNavigationController; ResponsiveVirtualGrid HEAD	kept Open path
2026-08-15T02:31:40Z	verify	After Cmd+R page reload pid=3626 connected: album open Back present and Open HX.26 gone (title 42.9ms; predicate 357.4ms). Back 332.9ms Open appeared. Second open 35.8ms title / 343.8ms predicate. Second Back 325.8ms. Loading false. All releases restored. n=1 AX.	output/verify-coda/20260815T0230Z-open-restore	Open restored; keep-alive reverted
2026-08-15T02:32:00Z	audit	Reduced-motion still unverified. Keep-alive not re-landed. Visible-card ensureTracks prefetch not added. Hung opens gone on this reload. Goal not complete.	output/verify-coda/20260815T0230Z-open-restore	open
2026-08-15T02:34Z	experiment	Bound hung/same-key router waits so VT update can settle	awaitRouterNavigationAfterRender and awaitRouterBackAfterRender now finish after 500ms when navigate never settles or onRendered never reports a new __TSR_key. Unsubscribe on settle/fail/timeout. Does not reject; next album open can start.	src/features/navigation/routeNavigationAdapters.ts; hung/same-key/Back timeout tests passed	kept
2026-08-15T02:34Z	experiment	Settle Motion playback on timeout before dropping handles	awaitMotionFinished timeout only unblocked Coda; dropping activeMotionControls without settle left GroupAnimation.finished hung. Real ViewTransitionBuilder has no .controls so supersede found nothing. finally now settleResolvedMotionControls (complete+notifyFinished) then drop refs. interrupt remains wait.	src/motionViewTransitions.ts; viewTransitions.test.ts timed-out morph later Open	kept
2026-08-15T02:35Z	verify	Cmd+R page reload pid=3626 then Collection All releases open-first-album	Vite logged page reload index.html at 9:35:06 PM. Doctor connected=true. Loading HX.26 false.	output/verify-coda/20260815T0235Z-p1-timeout-drain/00-doctor.txt	reload recorded
2026-08-15T02:35Z	measure	Album open Back present and Open HX.26 gone; Back restored Open HX.26	open-1 title 46.2ms then predicate Back=true Open gone; dump AXButton Back AXHeading HX.26. Back 324.9ms Open appeared. Second open 30.9ms predicate ok; second Back 307.8ms. Title is not settle. n=1 AX pid=3626.	output/verify-coda/20260815T0235Z-p1-timeout-drain	measured; hung Open absent
2026-08-15T02:35Z	audit	Keep-alive and ignore-gate not re-landed; interrupt still wait; NowPlayingView untouched	Collection route remains Outlet + CollectionRouteScreen on index. No ignored/detailMorphFlight/runWithCommitGate. Goal not complete: reduced-motion unverified, compositor paint unverified, overlapping artist-during-album-morph click still a known miss, keep-alive/P2 prefetch not landed.	output/verify-coda/20260815T0235Z-p1-timeout-drain	open
2026-08-15T02:38Z	experiment	Second in-flight open still calls transitionCodaView; never ignored	open() has no flight ref. Same-destination still returns refocused only. Test starts a hung album morph then opens artist; both call transitionCodaView and artist navigates.	src/features/navigation/useDetailNavigationController.ts; useDetailNavigationController.test.ts overlapping open	kept
2026-08-15T02:38Z	experiment	Skip document.activeViewTransition when draining a morph overlay	Finishing ::view-transition* WAAPI was not enough to drop a leftover native overlay that can eat the next click. supersede and timeout-finally now skipTransition then finish pseudos. interrupt remains wait.	src/motionViewTransitions.ts drainNativeViewTransitionOverlay; viewTransitions.test.ts skip overlay	kept
2026-08-15T02:38Z	verify	Cmd+R page reload pid=3626 before overlapping-click drive	Vite logged page reload index.html at 9:38:45 PM. Doctor connected=true Loading HX.26 false.	output/verify-coda/20260815T0238Z-overlapping-click/00-doctor.txt	reload recorded
2026-08-15T02:38Z	measure	Settled artist from album lands; interrupt during morph stays on album not Collection	album open Back+Open-gone title 66ms. Settled Knxwledge. 161.3ms Back present Opening artist absent. Interrupt click-title 8s appeared=false stayed on album Back=true Open gone collection_stuck=false. Album Back 374.5ms All releases restored. n=1 AX.	output/verify-coda/20260815T0238Z-overlapping-click	measured; interrupt did not land artist
2026-08-15T02:38Z	audit	Keep-alive and ignore-gate not re-landed; P2 prefetch skipped; goal not complete	No ignored/detailMorphFlight/runWithCommitGate. interrupt still wait. NowPlayingView untouched. Reduced-motion unverified. Compositor paint unverified. In-flight artist click still eaten (album remains). Keep-alive still out.	output/verify-coda/20260815T0238Z-overlapping-click	open
2026-08-15T02:41Z	diagnose	finally skipTransition was aborting the incoming animateView	Overlapping album→artist test: stale skip at supersede is correct; first morph finally then skipped document.activeViewTransition after the artist builder had already replaced it, so a deferred artist update never ran.	src/viewTransitions.test.ts incoming artist skip test was RED	hypothesis confirmed in unit test
2026-08-15T02:41Z	experiment	Skip/finish only the previous VT, before the new animateView	supersede still skipTransition+finish pseudos on the stale overlay. finally settles/skips only if this morph is still latest and timed out. Superseded finally no longer complete()/skip the incoming VT. interrupt remains wait.	src/motionViewTransitions.ts; incoming skip test + hung-close tests passed	kept
2026-08-15T02:41Z	verify	Cmd+R page reload pid=3626 before skip-scope drive	Vite logged page reload index.html at 9:41:37 PM. Doctor connected=true.	output/verify-coda/20260815T0241Z-skip-scope/00-doctor.txt	reload recorded
2026-08-15T02:41Z	measure	Happy-path Open and settled artist still work; interrupt still stays on album	album open Back+Open-gone title 51ms. Settled Knxwledge. 179.3ms Back present Opening artist absent. Artist Back 190ms to album. Album Back 338ms All releases restored. Interrupt click-title 8s appeared=false stayed on album collection_stuck=false. n=1 AX.	output/verify-coda/20260815T0241Z-skip-scope	measured; interrupt overlay remains
2026-08-15T02:41Z	audit	No ignore-gate; in-flight artist click still eaten by VT overlay; goal not complete	AX found Knxwledge. during morph but artist route did not commit. Overlay hit-eating is remaining. Keep-alive out. Reduced-motion unverified. Compositor paint unverified. NowPlayingView untouched.	output/verify-coda/20260815T0241Z-skip-scope	open
2026-08-15T02:45Z	experiment	Lock reduced-motion JS skip for album/artist detail plus CSS duration zero	prefers-reduced-motion already bypassed startViewTransition/animateView. Tests now cover album-detail and artist-detail close/open. CSS inspection asserts 0.01ms !important and html detail kinds view-transition-name none. Did not write OS reduceMotion (domain missing).	src/viewTransitions.test.ts; src/styles.css:1164	kept; desktop RM unverified
2026-08-15T02:45Z	audit	Page and detail motion already directional transform/opacity; Collection not snapshotted	Live .library-pane animate uses opacity+transform. Detail kinds set html view-transition-name none. Album/artist morph tests assert builder.add is not .library-pane. No extra springs added. NowPlayingView untouched.	src/viewTransitions.ts; src/motionViewTransitions.ts; src/styles.css page keyframes	kept existing caps
2026-08-15T02:45Z	experiment	Do not block Back VT update on 8 rAF virtualizer wait; keep-alive not landed	Keep-alive previously killed Open (null index + ignore-gate). Index stays CollectionRouteScreen, layout Outlet. Back update marks an already-mounted return card then finishes; virtualizer wait runs after the morph for focus only.	src/features/navigation/useDetailNavigationController.ts; Back rAF test	kept; keep-alive out
2026-08-15T02:45Z	verify	Cmd+R page reload pid=3626 then Open/Back/Open/artist	Vite page reload index.html 9:45:24 PM. Doctor connected=true Loading false.	output/verify-coda/20260815T0245Z-polish-back-rm/00-doctor.txt	reload recorded
2026-08-15T02:45Z	measure	First and second Open work; Back 288ms then 310ms; settled artist 176ms	album-open-1 Back+Open-gone title 68ms. Back 288ms Open appeared. Open-2 35ms predicate ok. Knxwledge. 176ms Opening artist absent. Artist Back 192ms. Album Back 310ms All releases restored. n=1 AX.	output/verify-coda/20260815T0245Z-polish-back-rm	measured; hung Open absent
2026-08-15T02:45Z	audit	Goal not complete: RM desktop unverified, compositor paint unverified, keep-alive out, overlay interrupt remains	Back still ~300ms (morph duration). In-flight artist click still overlay-eaten. interrupt wait. No ignore-gate. NowPlayingView untouched.	output/verify-coda/20260815T0245Z-polish-back-rm	open
2026-08-15T02:51Z	experiment	Keep origin Collection mounted in layout; named index is not a null render	Layout always renders CollectionRouteScreen, hidden+inert on album/artist. Index is CollectionIndexRoute (span marker), not () => null. Single instance. open() still calls transitionCodaView. No ignored/flight-ref/commit-gate.	src/features/library/CollectionOriginLayout.tsx; CollectionIndexRoute.tsx; src/routes/collection/route.tsx; index.tsx	kept
2026-08-15T02:51Z	verify	Cmd+R page reload pid=3626 then Collection All releases open-first-album	Vite logged page reload index.html at 9:51:11 PM. Doctor connected=true Loading HX.26 false.	output/verify-coda/20260815T0251Z-collection-keepalive/00-doctor.txt	reload recorded
2026-08-15T02:51Z	measure	Keep-alive Open proofs passed twice; Back slower than remount baseline	open-1 70.8ms Back=true Open HX.26=false. Back-1 488.9ms Open appeared Back gone. open-2 49.4ms same Open predicate. Back-2 380.9ms All releases 1909 restored. Remount baseline was 288 then 310ms. n=1 AX pid=3626.	output/verify-coda/20260815T0251Z-collection-keepalive	measured; Open kept; Back slower
2026-08-15T02:51Z	audit	Keep-alive in; goal not complete	HTML hidden may collapse the virtualizer (display:none) so Back still remounts cells. Search collection leaked on album dump. Desktop RM unverified. Compositor paint unverified. In-flight overlay interrupt remains. interrupt wait. No ignore-gate. NowPlayingView untouched.	output/verify-coda/20260815T0251Z-collection-keepalive	open
2026-08-15T02:56Z	experiment	Hide origin with visibility hidden plus sticky album overlay; no HTML hidden	Origin stayed in flow with inert and aria-hidden. Detail overlay sticky top 0 height 0 with 100cqh surface. open() still transitionCodaView. Index stayed CollectionIndexRoute.	src/features/library/CollectionOriginLayout.tsx; src/styles.css library-pane container	reverted; Back still slower
2026-08-15T02:56Z	verify	Cmd+R page reload pid=3626 then visibility-hide Open/Back	Vite page reload index.html at 9:56:02 PM. Doctor connected=true Loading false.	output/verify-coda/20260815T0256Z-keepalive-visibility/00-doctor.txt	reload recorded
2026-08-15T02:56Z	measure	Visibility hide Open passed twice; both Backs slower than remount	open-1 57.6ms Back=true Open HX.26=false. Back-1 373.3ms. open-2 49.7ms same Open predicate. Back-2 444.9ms. Remount baseline 288-310ms. Search collection on album dump is LibraryScreenChrome not origin cards. n=1 AX.	output/verify-coda/20260815T0256Z-keepalive-visibility	Open ok; Back slower; revert
2026-08-15T02:57Z	experiment	Revert keep-alive; restore Outlet plus CollectionRouteScreen index	Both visibility-hide Backs were >= remount. Deleted origin layout files. styles.css overlay/container removed.	src/routes/collection/route.tsx; index.tsx	reverted
2026-08-15T02:57Z	verify	Cmd+R after revert then prove Open twice	Vite page reload index.html at 9:57:13 PM. Doctor connected=true.	output/verify-coda/20260815T0257Z-keepalive-reverted/00-doctor.txt	reload recorded
2026-08-15T02:57Z	measure	Open works after revert; remount Back 294ms then 315ms	open-1 59.3ms Back=true Open HX.26=false. Back-1 294.4ms. open-2 28.5ms. Back-2 314.6ms All releases restored. Search collection still on album dump via chrome. n=1 AX pid=3626.	output/verify-coda/20260815T0257Z-keepalive-reverted	Open proved; keep-alive out
2026-08-15T02:57Z	audit	Keep-alive reverted; goal not complete	Layout-preserving hide did not beat remount Back. Desktop RM unverified. Compositor paint unverified. In-flight overlay interrupt remains. interrupt wait. No ignore-gate. NowPlayingView untouched.	output/verify-coda/20260815T0257Z-keepalive-reverted	open
2026-08-15T03:01Z	experiment	Snappier detail-close springs without bounce; open springs unchanged	Close artwork 130ms bounce 0, title 110ms bounce 0. configuredVisualDuration for close is 130ms so interrupt:wait timeout is ~210ms. CSS close tokens override 460ms shared-detail groups. VT update still does not wait on virtualizer rAF. Keep-alive stays out.	src/motionViewTransitions.ts; src/styles.css; src/viewTransitions.test.ts	kept
2026-08-15T03:01Z	verify	Cmd+R pid=3626 then Open/Back twice	Vite page reload index.html at 10:00:52 PM. Doctor connected=true Loading false.	output/verify-coda/20260815T0301Z-snappy-close/00-doctor.txt	reload recorded
2026-08-15T03:01Z	measure	Open still works; AX Back still ~298-316ms remount floor	open-1 89.7ms Back=true Open HX.26=false. Back-1 315.5ms. open-2 38.2ms. Back-2 298.2ms All releases restored. Did not hang. AX Back did not beat 294-315 remount baseline; Collection first paint during update() is the remaining cost. n=1 AX.	output/verify-coda/20260815T0301Z-snappy-close	Open ok; Back AX unchanged
2026-08-15T03:01Z	audit	Goal not complete	Keep-alive out. Desktop RM unverified. Compositor paint unverified (close spring may still feel faster than AX). In-flight overlay interrupt remains. interrupt wait. No ignore-gate. NowPlayingView untouched.	output/verify-coda/20260815T0301Z-snappy-close	open
2026-08-15T03:07Z	diagnose	Collection remount first paint was zero-width virtualizer, not catalog regroup	useLibraryBrowseController stays mounted in App; matchingBrowseMode catalog identity already memoized. ResponsiveVirtualGrid used useState(0) then measured, so Back's VT update committed 1-column geometry before cards. CoverArt fetch is useEffect. awaitVirtualReturnTrigger is after the morph. Keep-alive stays out.	src/ResponsiveVirtualGrid.tsx; src/features/library/useLibraryBrowseController.ts	hypothesis
2026-08-15T03:07Z	experiment	Cache last grid width/scrollMargin and seed virtualizer initialRect from the live pane	First Collection commit on Back reuses measured columns and pane viewport instead of 0x0. Module cache in responsiveGridMeasurement.ts. TDD remount test keeps the scroll parent mounted. No second Collection tree.	src/responsiveGridMeasurement.ts; src/ResponsiveVirtualGrid.tsx	kept
2026-08-15T03:07Z	verify	Cmd+R pid=3626 then Open/Back twice	Vite page reload index.html at 10:06:45 PM. Doctor connected=true Loading false.	output/verify-coda/20260815T0307Z-grid-first-paint/00-doctor.txt	reload recorded
2026-08-15T03:07Z	measure	Open did not regress; AX Back still ~289-310ms remount band	open-1 54.7ms Back=true Open HX.26=false. Back-1 309.8ms. open-2 34.0ms. Back-2 289.4ms All releases 1909 restored. Cards click. vs 298-316ms prior floor: second Back slightly under, first Back unchanged. n=1 AX.	output/verify-coda/20260815T0307Z-grid-first-paint	Open ok; Back AX not a clear win
2026-08-15T03:07Z	audit	Goal not complete	Keep-alive out. Desktop RM unverified. Compositor paint unverified. In-flight overlay interrupt remains. interrupt wait. No ignore-gate. NowPlayingView untouched. Collection still remounts inside VT update().	output/verify-coda/20260815T0307Z-grid-first-paint	open
2026-08-15T03:12Z	experiment	Cover keep-alive: Collection stays laid out under opaque album overlay	inert+aria-hidden, no hidden/display:none/visibility:hidden on origin. Outlet absolute inset-0 bg-background. Named CollectionIndexRoute contents marker, not () => null. open() still calls transitionCodaView.	src/features/library/CollectionOriginLayout.tsx	reverted
2026-08-15T03:12Z	verify	Cmd+R pid=3626 then Open/Back twice	Vite page reload index.html at 10:11:28 PM. Doctor connected=true Loading false.	output/verify-coda/20260815T0312Z-cover-keepalive/00-doctor.txt	reload recorded
2026-08-15T03:12Z	measure	Open worked; cover keep-alive Back slower than remount	open-1 87.4ms Back=true Open HX.26=false. Back-1 377.0ms. open-2 43.9ms. Back-2 495.0ms All releases restored. vs 289-316ms remount. n=1 AX pid=3626.	output/verify-coda/20260815T0312Z-cover-keepalive	FAIL Back slower; revert gate
2026-08-15T03:12Z	experiment	Revert cover keep-alive to Outlet + CollectionRouteScreen index	Back 377/495ms missed the remount gate. Deleted CollectionOriginLayout. Kept open() transitionCodaView assertion.	src/routes/collection/route.tsx; src/routes/collection/index.tsx	reverted
2026-08-15T03:12Z	verify	Cmd+R after revert then prove Open twice	Vite page reload index.html at 10:12:10 PM. Doctor connected=true.	output/verify-coda/20260815T0312Z-cover-reverted/00-doctor.txt	reload recorded
2026-08-15T03:12Z	measure	Open restored after revert; remount Back band back	open-1 81.1ms Back=true Open HX.26=false. Back-1 312.0ms. open-2 28.0ms. Back-2 298.8ms All releases restored. n=1 AX pid=3626.	output/verify-coda/20260815T0312Z-cover-reverted	Open proved; keep-alive out
2026-08-15T03:12Z	audit	Goal not complete	Keep-alive out (hidden, visibility, and cover all slower or no win). Desktop RM unverified. Compositor paint unverified. In-flight overlay interrupt remains. interrupt wait. No ignore-gate. NowPlayingView untouched.	output/verify-coda/20260815T0312Z-cover-reverted	open
2026-08-15T03:18Z	experiment	Close-to-Collection uses live pane, not animateView	album/artist/playlist/radio *-detail-close route through transitionRouterOwnedPage (reverse translateX/opacity). Open kinds stay on animateView. Reduced-motion still bypasses. No keep-alive. interrupt wait.	src/viewTransitions.ts usesLivePaneAnimation; viewTransitions.test.ts live-pane close table	kept
2026-08-15T03:18Z	verify	Cmd+R pid=3626 then Open/Back twice	Vite reload via Cmd+R + touch index.html. Doctor connected=true Loading false.	output/verify-coda/20260815T0318Z-live-pane-close/00-doctor.txt	reload recorded
2026-08-15T03:18Z	measure	Open morph destination intact; Back no longer inside VT update	open-1 47.7ms Back=true Open HX.26=false. Back-1 306.8ms. open-2 29.3ms. Back-2 276.5ms All releases 1909 restored. vs 299–316ms remount: first Back in band, second under floor. Did not hang. n=1 AX pid=3626.	output/verify-coda/20260815T0318Z-live-pane-close	Open ok; Back AX modest
2026-08-15T03:18Z	audit	Goal not complete	Keep-alive out. Desktop RM unverified. Compositor paint unverified. In-flight overlay interrupt remains. interrupt wait. No ignore-gate. NowPlayingView untouched. Collection still remounts; AX Back still ~277–307ms first paint.	output/verify-coda/20260815T0318Z-live-pane-close	open
